,base,cf,cont,delim,epos,extent,form,gdl,gw,id_text,id_word,label,lang,morph,norm,norm0,pos,scope,sense,state,lemma,id_line
91,,,,,,,ba-an-x,"[{'v': 'ba', 'id': 'P357170.15.5.0', 'delim': '-'}, {'v': 'an', 'id': 'P357170.15.5.1', 'delim': '-'}, {'x': 'ellipsis', 'id': 'P357170.15.5.2', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.15.5.2'}]",,niektest/P357170,P357170.15.5,o 13,sux,,,,u,,,,ba-an-x[NA]NA,15
92,,,, ,,,silig-bi,"[{'v': 'silig', 'id': 'P357170.16.1.0', 'delim': '-'}, {'v': 'bi', 'id': 'P357170.16.1.1'}]",,niektest/P357170,P357170.16.1,o 14,sux,,,,X,,,,silig-bi[NA]NA,16
93,gub,gub,, ,V/i,,gub-zu,"[{'v': 'gub', 'id': 'P357170.16.2.0', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.16.2.1'}]",stand,niektest/P357170,P357170.16.2,o 14,sux,"~;*a,zu",,"gub;*a,zu",V/i,,(to-be)-assigned-(to-a-task),,gub[stand]V/i,16
94,,,, ,,,x,"[{'v': 'x', 'id': 'P357170.16.3.0'}]",,niektest/P357170,P357170.16.3,o 14,sux,,,,u,,,,x[NA]NA,16
95,,,, ,,,x,"[{'x': 'ellipsis', 'id': 'P357170.16.4.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.16.4.0'}]",,niektest/P357170,P357170.16.4,o 14,sux,,,,u,,,,x[NA]NA,16
96,,,, ,,,DU-gin₇,"[{'s': 'DU', 'id': 'P357170.16.5.0', 'delim': '-'}, {'v': 'gin₇', 'id': 'P357170.16.5.1'}]",,niektest/P357170,P357170.16.5,o 14,sux,,,,X,,,,DU-gin₇[NA]NA,16
97,erim₂,erim,, ,V/i,,erim₂-ra,"[{'v': 'erim₂', 'id': 'P357170.16.6.0', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.16.6.1'}]",enemy,niektest/P357170,P357170.16.6,o 14,sux,"~,ra",,"erim,ra",N,,(to-be)-wicked-villainous,,erim[enemy]N,16
98,,,, ,,,x,"[{'v': 'x', 'id': 'P357170.16.7.0'}]",,niektest/P357170,P357170.16.7,o 14,sux,,,,u,,,,x[NA]NA,16
99,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.16.8.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.16.8.0'}]",,niektest/P357170,P357170.16.8,o 14,sux,,,,u,,,,x[NA]NA,16
100,ni₂,ni,, ,RP,,ni₂-zu,"[{'v': 'ni₂', 'id': 'P357170.17.1.0', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.17.1.1'}]",self,niektest/P357170,P357170.17.1,o 15,sux,"~,zu",,"ni,zu",RP,,self,,ni[self]RP,17
101,an,an,, ,N,,an,"[{'v': 'an', 'id': 'P357170.17.2.0'}]",sky,niektest/P357170,P357170.17.2,o 15,sux,~,,an,N,,sky-heaven,,an[sky]N,17
102,ki,ki,, ,N,,ki-a,"[{'v': 'ki', 'id': 'P357170.17.3.0', 'delim': '-'}, {'v': 'a', 'id': 'P357170.17.3.1'}]",place,niektest/P357170,P357170.17.3,o 15,sux,"~,ak",,"ki,ak",N,,ground-earth-land,,ki[place]N,17
103,,,, ,,,x,"[{'x': 'ellipsis', 'id': 'P357170.17.4.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.17.4.0'}]",,niektest/P357170,P357170.17.4,o 15,sux,,,,u,,,,x[NA]NA,17
104,a,a,, ,N,,a-ta,"[{'v': 'a', 'id': 'P357170.17.5.0', 'delim': '-'}, {'v': 'ta', 'id': 'P357170.17.5.1'}]",water,niektest/P357170,P357170.17.5,o 15,sux,"~,ta",,"a,ta",N,,water,,a[water]N,17
105,ur₄,ur,-re=r.e,,V/i,,mu-u₈-da-ur₄-re,"[{'v': 'mu', 'id': 'P357170.17.6.0', 'delim': '-'}, {'v': 'u₈', 'id': 'P357170.17.6.1', 'delim': '-'}, {'v': 'da', 'id': 'P357170.17.6.2', 'delim': '-'}, {'v': 'ur₄', 'id': 'P357170.17.6.3', 'delim': '-'}, {'v': 're', 'id': 'P357170.17.6.4'}]",convulsed,niektest/P357170,P357170.17.6,o 15,sux,mu.V.da:~;e,,mu.V.da:ur;e,V/i,,convulsed,,ur[convulsed]V/i,17
106,nin,nin,, ,N,,nin-ŋu₁₀,"[{'v': 'nin', 'id': 'P357170.18.1.0', 'delim': '-'}, {'v': 'ŋu₁₀', 'id': 'P357170.18.1.1'}]",lady,niektest/P357170,P357170.18.1,o 16,sux,"~,ŋu",,"nin,ŋu",N,,lady,,nin[lady]N,18
107,,,, ,,,nam-x,"[{'v': 'nam', 'id': 'P357170.18.2.0', 'delim': '-'}, {'v': 'x', 'id': 'P357170.18.2.1'}]",,niektest/P357170,P357170.18.2,o 16,sux,,,,u,,,,nam-x[NA]NA,18
108,,,, ,,,x,"[{'x': 'ellipsis', 'id': 'P357170.18.3.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.18.3.0'}]",,niektest/P357170,P357170.18.3,o 16,sux,,,,u,,,,x[NA]NA,18
109,saŋ,saŋ,, ,N,,saŋ,"[{'v': 'saŋ', 'id': 'P357170.18.4.0'}]",head,niektest/P357170,P357170.18.4,o 16,sux,~,,saŋ,N,,head,,saŋ[head]N,18
110,sag₃,sag,-ge=g.e,,V/t,,im-da-sag₃-ge,"[{'v': 'im', 'id': 'P357170.18.5.0', 'delim': '-'}, {'v': 'da', 'id': 'P357170.18.5.1', 'delim': '-'}, {'v': 'sag₃', 'id': 'P357170.18.5.2', 'delim': '-'}, {'v': 'ge', 'id': 'P357170.18.5.3'}]",beat,niektest/P357170,P357170.18.5,o 16,sux,V.m.da:~;e,,V.m.da:sag;e,V/t,,beat,,sag[beat]V/t,18
111,{d}inana,Inanak,, ,DN,,{d}inana,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.19.1.0'}]}, {'v': 'inana', 'id': 'P357170.19.1.1'}]",1,niektest/P357170,P357170.19.1,o 17,sux,~,,Inanak,DN,,1,,Inanak[1]DN,19
112,ur-saŋ,ursaŋ,, ,N,,ur-saŋ,"[{'v': 'ur', 'id': 'P357170.19.2.0', 'delim': '-'}, {'v': 'saŋ', 'id': 'P357170.19.2.1', 'breakStart': '1', 'o': '[', 'break': 'missing'}]",hero,niektest/P357170,P357170.19.2,o 17,sux,~,,ursaŋ,N,,hero,,ursaŋ[hero]N,19
113,,,, ,,,x,"[{'x': 'ellipsis', 'id': 'P357170.19.3.0', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.19.2.1'}]",,niektest/P357170,P357170.19.3,o 17,sux,,,,u,,,,x[NA]NA,19
114,,,, ,,,x,"[{'v': 'x', 'id': 'P357170.19.4.0'}]",,niektest/P357170,P357170.19.4,o 17,sux,,,,u,,,,x[NA]NA,19
115,dib,dib,-ba=b.a,,V/t,,dib-ba-me-en,"[{'v': 'dib', 'id': 'P357170.19.5.0', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.19.5.1', 'delim': '-'}, {'v': 'me', 'id': 'P357170.19.5.2', 'delim': '-'}, {'v': 'en', 'id': 'P357170.19.5.3', 'breakStart': '1', 'o': ']', 'break': 'missing', 'breakEnd': 'P357170.19.5.3'}]",pass,niektest/P357170,P357170.19.5,o 17,sux,"~;a,men",,"dib;a,men",V/t,,pass,,dib[pass]V/t,19
116,libiš,libiš,, ,N,,libiš,"[{'v': 'libiš', 'id': 'P357170.20.1.0'}]",innards,niektest/P357170,P357170.20.1,o 18,sux,~,,libiš,N,,innards,,libiš[innards]N,20
117,tuku,tuku,, ,V/t,,tuku,"[{'v': 'tuku', 'id': 'P357170.20.2.0'}]",acquire,niektest/P357170,P357170.20.2,o 18,sux,~,,tuku,V/t,,to-acquire-get,,tuku[acquire]V/t,20
118,,,, ,,,$KA,"[{'s': 'KA', 'id': 'P357170.20.3.0', 'break': 'damaged', 'queried': '1', 'ho': '1', 'role': 'sign', 'hc': '1'}]",,niektest/P357170,P357170.20.3,o 18,sux,,,,u,,,,$KA[NA]NA,20
119,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.20.4.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.20.4.0'}]",,niektest/P357170,P357170.20.4,o 18,sux,,,,u,,,,x[NA]NA,20
120,a₂,a,, ,N,,a₂,"[{'v': 'a₂', 'id': 'P357170.21.1.0'}]",arm,niektest/P357170,P357170.21.1,o 19,sux,~,,a,N,,arm,,a[arm]N,21
121,bad,bad,-ra₂=r.a, ,V/i,,bad-ra₂,"[{'v': 'bad', 'id': 'P357170.21.2.0', 'delim': '-'}, {'v': 'ra₂', 'id': 'P357170.21.2.1'}]",open,niektest/P357170,P357170.21.2,o 19,sux,~;a,,bad;a,V/t,,be-remote,,bad[open]V/t,21
122,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.21.3.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.21.3.0'}]",,niektest/P357170,P357170.21.3,o 19,sux,,,,u,,,,x[NA]NA,21
123,{d}inana,Inanak,, ,DN,,{d}inana,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.22.1.0'}]}, {'v': 'inana', 'id': 'P357170.22.1.1'}]",1,niektest/P357170,P357170.22.1,o 20,sux,~,,Inanak,DN,,1,,Inanak[1]DN,22
124,,,, ,,,SA,"[{'s': 'SA', 'id': 'P357170.22.2.0'}]",,niektest/P357170,P357170.22.2,o 20,sux,,,,X,,,,SA[NA]NA,22
125,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.22.3.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.22.3.0'}]",,niektest/P357170,P357170.22.3,o 20,sux,,,,u,,,,x[NA]NA,22
126,ama,ama,, ,N,,ama,"[{'v': 'ama', 'id': 'P357170.23.1.0'}]",mother,niektest/P357170,P357170.23.1,o 21,sux,~,,ama,N,,mother,,ama[mother]N,23
127,nu-u₈-gig,nugig,, ,N,,nu-u₈-gig,"[{'v': 'nu', 'id': 'P357170.23.2.0', 'delim': '-'}, {'v': 'u₈', 'id': 'P357170.23.2.1', 'delim': '-'}, {'v': 'gig', 'id': 'P357170.23.2.2', 'breakStart': '1', 'o': '[', 'break': 'missing'}]",priestess,niektest/P357170,P357170.23.2,o 21,sux,~,,nugig,N,,a-divine-epithet,,nugig[priestess]N,23
128,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.23.3.0', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.23.2.2'}]",,niektest/P357170,P357170.23.3,o 21,sux,,,,u,,,,x[NA]NA,23
129,{ŋeš}gud-si-dili,gud.si.AŠ,, ,N,,{ŋeš}gud-si-dili,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'ŋeš', 'id': 'P357170.24.1.0'}]}, {'v': 'gud', 'id': 'P357170.24.1.1', 'delim': '-'}, {'v': 'si', 'id': 'P357170.24.1.2', 'delim': '-'}, {'v': 'dili', 'id': 'P357170.24.1.3', 'breakStart': '1', 'o': '[', 'break': 'missing'}]",ram,niektest/P357170,P357170.24.1,o 22,sux,~,,gud.si.AŠ,N,,battering-ram,,gud.si.AŠ[ram]N,24
130,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.24.2.0', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.24.1.3'}]",,niektest/P357170,P357170.24.2,o 22,sux,,,,u,,,,x[NA]NA,24
131,{kuš}gur₂₁,guru,, ,N,,{kuš}gur₂₁,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'kuš', 'id': 'P357170.25.1.0'}]}, {'v': 'gur₂₁', 'id': 'P357170.25.1.1'}]",shield,niektest/P357170,P357170.25.1,o 23,sux,~,,guru,N,,shield,,guru[shield]N,25
132,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.25.2.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.25.2.0'}]",,niektest/P357170,P357170.25.2,o 23,sux,,,,u,,,,x[NA]NA,25
133,ze₂-na,zena,, ,N,,ze₂-na,"[{'v': 'ze₂', 'id': 'P357170.26.1.0', 'delim': '-'}, {'v': 'na', 'id': 'P357170.26.1.1'}]",weapon,niektest/P357170,P357170.26.1,o 24,sux,~,,zena,N,,a-siege-weapon,,zena[weapon]N,26
134,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.26.2.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.26.2.0'}]",,niektest/P357170,P357170.26.2,o 24,sux,,,,u,,,,x[NA]NA,26
135,{d}nin,nin,, ,N,,{d}nin,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.27.1.0'}]}, {'v': 'nin', 'id': 'P357170.27.1.1'}]",lady,niektest/P357170,P357170.27.1,o 25,sux,~,,nin,N,,lady,,nin[lady]N,27
136,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.27.2.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.27.2.0'}]",,niektest/P357170,P357170.27.2,o 25,sux,,,,u,,,,x[NA]NA,27
137,,,, ,,,$AN,"[{'s': 'AN', 'id': 'P357170.28.1.0', 'role': 'sign'}]",,niektest/P357170,P357170.28.1,o 26,sux,,,,u,,,,$AN[NA]NA,28
138,,,,,,,za-x,"[{'v': 'za', 'id': 'P357170.28.2.0', 'delim': '-'}, {'x': 'ellipsis', 'id': 'P357170.28.2.1', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.28.2.1'}]",,niektest/P357170,P357170.28.2,o 26,sux,,,,u,,,,za-x[NA]NA,28
139,{d}inana,Inanak,, ,DN,,{d}inana,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.29.1.0'}]}, {'v': 'inana', 'id': 'P357170.29.1.1'}]",1,niektest/P357170,P357170.29.1,o 27,sux,~,,Inanak,DN,,1,,Inanak[1]DN,29
140,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.29.2.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.29.2.0'}]",,niektest/P357170,P357170.29.2,o 27,sux,,,,u,,,,x[NA]NA,29
141,dumu,dumu,, ,N,,dumu,"[{'v': 'dumu', 'id': 'P357170.30.1.0'}]",child,niektest/P357170,P357170.30.1,o 28,sux,~,,dumu,N,,child,,dumu[child]N,30
142,an,An,, ,DN,,an,"[{'v': 'an', 'id': 'P357170.30.2.0'}]",1,niektest/P357170,P357170.30.2,o 28,sux,~,,An,DN,,1,,An[1]DN,30
143,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.30.3.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.30.3.0'}]",,niektest/P357170,P357170.30.3,o 28,sux,,,,u,,,,x[NA]NA,30
144,,,, ,,,$AN,"[{'s': 'AN', 'id': 'P357170.31.1.0', 'role': 'sign'}]",,niektest/P357170,P357170.31.1,o 29,sux,,,,u,,,,$AN[NA]NA,31
145,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.31.2.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.31.2.0'}]",,niektest/P357170,P357170.31.2,o 29,sux,,,,u,,,,x[NA]NA,31
146,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.32.1.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.32.1.0'}]",,niektest/P357170,P357170.32.1,o 30,sux,,,,u,,,,x[NA]NA,32
147,{d}inana,Inanak,, ,DN,,{d}inana,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.33.1.0'}]}, {'v': 'inana', 'id': 'P357170.33.1.1'}]",1,niektest/P357170,P357170.33.1,o 31,sux,~,,Inanak,DN,,1,,Inanak[1]DN,33
148,kalam,kalam,, ,N,,kalam,"[{'v': 'kalam', 'id': 'P357170.33.2.0'}]",land,niektest/P357170,P357170.33.2,o 31,sux,~,,kalam,N,,the-Land-(of-Sumer),,kalam[land]N,33
149,zi,zi,, ,N,,zi,"[{'v': 'zi', 'id': 'P357170.33.3.0', 'break': 'damaged', 'queried': '1', 'ho': '1', 'hc': '1'}]",life,niektest/P357170,P357170.33.3,o 31,sux,~,,zi,N,,life,,zi[life]N,33
150,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.33.4.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.33.4.0'}]",,niektest/P357170,P357170.33.4,o 31,sux,,,,u,,,,x[NA]NA,33
151,,,, ,,,x-ba,"[{'v': 'x', 'id': 'P357170.34.1.0', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.34.1.1'}]",,niektest/P357170,P357170.34.1,o 32,sux,,,,u,,,,x-ba[NA]NA,34
152,an,an,, ,N,,an,"[{'v': 'an', 'id': 'P357170.34.2.0'}]",sky,niektest/P357170,P357170.34.2,o 32,sux,~,,an,N,,sky-heaven,,an[sky]N,34
153,ki,ki,, ,N,,ki,"[{'v': 'ki', 'id': 'P357170.34.3.0'}]",place,niektest/P357170,P357170.34.3,o 32,sux,~,,ki,N,,ground-earth-land,,ki[place]N,34
154,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.34.4.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.34.4.0'}]",,niektest/P357170,P357170.34.4,o 32,sux,,,,u,,,,x[NA]NA,34
155,nin,nin,, ,N,,nin,"[{'v': 'nin', 'id': 'P357170.35.1.0'}]",lady,niektest/P357170,P357170.35.1,o 33,sux,~,,nin,N,,lady,,nin[lady]N,35
156,diŋir,diŋir,, ,N,,diŋir,"[{'v': 'diŋir', 'id': 'P357170.35.2.0'}]",deity,niektest/P357170,P357170.35.2,o 33,sux,~,,diŋir,N,,deity,,diŋir[deity]N,35
157,gal-gal,gal,, ,V/i,,gal-gal,"[{'v': 'gal', 'id': 'P357170.35.3.0', 'delim': '-'}, {'v': 'gal', 'id': 'P357170.35.3.1', 'break': 'damaged', 'ho': '1', 'hc': '1'}]",big,niektest/P357170,P357170.35.3,o 33,sux,~,,gal,V/i,,(to-be)-big-great,,gal[big]V/i,35
158,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.35.4.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.35.4.0'}]",,niektest/P357170,P357170.35.4,o 33,sux,,,,u,,,,x[NA]NA,35
159,e₂-an-na,Eana,, ,TN,,e₂-an-na,"[{'v': 'e₂', 'id': 'P357170.36.1.0', 'delim': '-'}, {'v': 'an', 'id': 'P357170.36.1.1', 'delim': '-'}, {'v': 'na', 'id': 'P357170.36.1.2'}]",1,niektest/P357170,P357170.36.1,o 34,sux,~,,Eana,TN,,1,,Eana[1]TN,36
160,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.36.2.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.36.2.0'}]",,niektest/P357170,P357170.36.2,o 34,sux,,,,u,,,,x[NA]NA,36
161,ki,ki,, ,N,,ki,"[{'v': 'ki', 'id': 'P357170.37.1.0'}]",place,niektest/P357170,P357170.37.1,o 35,sux,~,,ki,N,,ground-earth-land,,ki[place]N,37
162,unug{ki},Unug,, ,SN,,unug{ki},"[{'v': 'unug', 'id': 'P357170.37.2.0'}, {'det': 'semantic', 'pos': 'post', 'seq': [{'v': 'ki', 'id': 'P357170.37.2.1'}]}]",1,niektest/P357170,P357170.37.2,o 35,sux,~,,Unug,SN,,1,,Unug[1]SN,37
163,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.37.3.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.37.3.0'}]",,niektest/P357170,P357170.37.3,o 35,sux,,,,u,,,,x[NA]NA,37
164,an,An,-ne₂=n·e, ,DN,,an-ne₂,"[{'v': 'an', 'id': 'P357170.38.1.0', 'delim': '-'}, {'v': 'ne₂', 'id': 'P357170.38.1.1'}]",1,niektest/P357170,P357170.38.1,o 36,sux,"~,e",,"An,e",DN,,1,,An[1]DN,38
165,nin,nin,, ,N,,nin,"[{'v': 'nin', 'id': 'P357170.38.2.0', 'break': 'damaged', 'queried': '1', 'ho': '1', 'hc': '1'}]",lady,niektest/P357170,P357170.38.2,o 36,sux,~,,nin,N,,lady,,nin[lady]N,38
166,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.38.3.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.38.3.0'}]",,niektest/P357170,P357170.38.3,o 36,sux,,,,u,,,,x[NA]NA,38
167,dam,dam,, ,N,,dam,"[{'v': 'dam', 'id': 'P357170.39.1.0'}]",spouse,niektest/P357170,P357170.39.1,o 37,sux,~,,dam,N,,spouse,,dam[spouse]N,39
168,ki-aŋ₂,kiʾaŋa,, ,AJ,,ki-aŋ₂,"[{'v': 'ki', 'id': 'P357170.39.2.0', 'delim': '-'}, {'v': 'aŋ₂', 'id': 'P357170.39.2.1', 'break': 'damaged', 'ho': '1', 'hc': '1'}]",beloved,niektest/P357170,P357170.39.2,o 37,sux,~,,kiʾaŋa,AJ,,beloved,,kiʾaŋa[beloved]AJ,39
169,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.39.3.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.39.3.0'}]",,niektest/P357170,P357170.39.3,o 37,sux,,,,u,,,,x[NA]NA,39
170,du₆,dud,, ,N,,du₆,"[{'v': 'du₆', 'id': 'P357170.40.1.0'}]",mound,niektest/P357170,P357170.40.1,o 38,sux,~,,dud,N,,(ruin)-mound,,dud[mound]N,40
171,kug,kug,-ga=g.a, ,V/i,,kug-ga,"[{'v': 'kug', 'id': 'P357170.40.2.0', 'delim': '-'}, {'v': 'ga', 'id': 'P357170.40.2.1', 'break': 'damaged', 'ho': '1', 'hc': '1'}]",pure,niektest/P357170,P357170.40.2,o 38,sux,"~,ak",,"kug,ak",V/i,,pure,,kug[pure]V/i,40
172,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.40.3.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.40.3.0'}]",,niektest/P357170,P357170.40.3,o 38,sux,,,,u,,,,x[NA]NA,40
173,ama,ama,, ,N,,ama,"[{'v': 'ama', 'id': 'P357170.41.1.0'}]",mother,niektest/P357170,P357170.41.1,o 39,sux,~,,ama,N,,mother,,ama[mother]N,41
174,kalam,kalam,, ,N,,kalam,"[{'v': 'kalam', 'id': 'P357170.41.2.0'}]",land,niektest/P357170,P357170.41.2,o 39,sux,~,,kalam,N,,the-Land-(of-Sumer),,kalam[land]N,41
175,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.41.3.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.41.3.0'}]",,niektest/P357170,P357170.41.3,o 39,sux,,,,u,,,,x[NA]NA,41
176,me₃,me,, ,N,,me₃,"[{'v': 'me₃', 'id': 'P357170.42.1.0'}]",battle,niektest/P357170,P357170.42.1,o 40,sux,~,,me,N,,battle,,me[battle]N,42
177,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.42.2.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.42.2.0'}]",,niektest/P357170,P357170.42.2,o 40,sux,,,,u,,,,x[NA]NA,42
178,,,, ,,,nam-x,"[{'v': 'nam', 'id': 'P357170.43.1.0', 'delim': '-'}, {'v': 'x', 'id': 'P357170.43.1.1'}]",,niektest/P357170,P357170.43.1,o 41,sux,,,,u,,,,nam-x[NA]NA,43
179,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.43.2.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.43.2.0'}]",,niektest/P357170,P357170.43.2,o 41,sux,,,,u,,,,x[NA]NA,43
180,,,,,,,{d}nin-x,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.44.1.0'}]}, {'v': 'nin', 'id': 'P357170.44.1.1', 'break': 'damaged', 'ho': '1', 'delim': '-', 'hc': '1'}, {'x': 'ellipsis', 'id': 'P357170.44.1.2', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.44.1.2'}]",,niektest/P357170,P357170.44.1,o 42,sux,,,,u,,,,{d}nin-x[NA]NA,44
181,eridug{ki},Eridug,, ,SN,,eridug{ki},"[{'v': 'eridug', 'id': 'P357170.45.1.0'}, {'det': 'semantic', 'pos': 'post', 'seq': [{'v': 'ki', 'id': 'P357170.45.1.1', 'break': 'damaged', 'ho': '1', 'hc': '1'}]}]",1,niektest/P357170,P357170.45.1,o 43,sux,~,,Eridug,SN,,1,,Eridug[1]SN,45
182,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.45.2.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.45.2.0'}]",,niektest/P357170,P357170.45.2,o 43,sux,,,,u,,,,x[NA]NA,45
183,{d}en-ki,Enki,, ,DN,,{d}en-ki,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.46.1.0'}]}, {'v': 'en', 'id': 'P357170.46.1.1', 'break': 'damaged', 'ho': '1', 'delim': '-'}, {'v': 'ki', 'id': 'P357170.46.1.2', 'break': 'damaged', 'hc': '1'}]",1,niektest/P357170,P357170.46.1,o 44,sux,~,,Enki,DN,,1,,Enki[1]DN,46
184,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.46.2.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.46.2.0'}]",,niektest/P357170,P357170.46.2,o 44,sux,,,,u,,,,x[NA]NA,46
185,me,me,, ,N,,me,"[{'v': 'me', 'id': 'P357170.47.1.0'}]",Being,niektest/P357170,P357170.47.1,o 45,sux,~,,me,N,,Being-divine-properties-enabling-cosmic-activity,,me[Being]N,47
186,abzu,abzu,, ,N,,abzu,"[{'v': 'abzu', 'id': 'P357170.47.2.0'}]",water,niektest/P357170,P357170.47.2,o 45,sux,~,,abzu,N,,water,,abzu[water]N,47
187,,,, ,,,x,"[{'v': 'x', 'id': 'P357170.47.3.0'}]",,niektest/P357170,P357170.47.3,o 45,sux,,,,u,,,,x[NA]NA,47
188,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.47.4.0', 'breakStart': '1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.47.4.0'}]",,niektest/P357170,P357170.47.4,o 45,sux,,,,u,,,,x[NA]NA,47
189,nam-išib,namišib,, ,N,,nam-išib,"[{'v': 'nam', 'id': 'P357170.48.1.0', 'delim': '-'}, {'v': 'išib', 'id': 'P357170.48.1.1'}]",priesthood,niektest/P357170,P357170.48.1,o 46,sux,~,,namišib,N,,office-of-išib-priest,,namišib[priesthood]N,48
190,,,, ,,,nam-x,"[{'v': 'nam', 'id': 'P357170.48.2.0', 'delim': '-'}, {'v': 'x', 'id': 'P357170.48.2.1'}]",,niektest/P357170,P357170.48.2,o 46,sux,,,,u,,,,nam-x[NA]NA,48
